timestamp,ip,label,status,response_time_ms
2025-10-17 01:48:38,1.1.1.1,Cloudflare DNS,online,77.89
2025-10-17 01:48:38,10.59.249.15,Geethika's Laptop,online,3.63
2025-10-17 01:48:38,10.59.249.199,My Laptop,online,0.42
2025-10-17 01:49:08,8.8.8.8,Google DNS,online,63.16
2025-10-17 01:49:08,1.1.1.1,Cloudflare DNS,online,76.59
2025-10-17 01:49:08,10.59.249.15,Geethika's Laptop,online,51.32
2025-10-17 01:49:08,10.59.249.199,My Laptop,online,0.55
2025-10-17 01:49:38,8.8.8.8,Google DNS,online,94.08
2025-10-17 01:49:38,1.1.1.1,Cloudflare DNS,online,46.42
2025-10-17 01:49:38,10.59.249.15,Geethika's Laptop,online,51.29
2025-10-17 01:49:38,10.59.249.199,My Laptop,online,0.57
